name,abv,desc,style_name
Priscilla,5.2,"This AmeriCAN take on the Belgian Classic Wit, featuring orange peel and coriander spice emanated from the basement blues music legacy Dave McIntyre (Oskar Blusologist) built at the original Oskar Blues Grill & Brew in Lyons, CO. On draft for over a decade, Priscilla's zesty citrus and light fresh baked bread aromas mix with spicy, fruity fermentation. Light bodied with a subtle savory spice accent and a dry, lightly tart finish you can nearly feel the flicker of the neon and sounds of the King. White Wit Wheat.",Witbier
Puff The Magic Cyser,8.5,"Puff the Magic Cyser is a collaborative barrel aged product between Vander Mill and New Holland Brewing Company.

This cyser is fermented with Michigan wildflower honey to complete dryness and then aged in New Holland Dragon's Milk barrels for 8 months.  The richness from the stout and depth of the barrel flavor make this product very complex.  A hint of the honey and acidity of the cider round out the profile.",Cyser
Puget Brown Porter,5.6,"Our brown porter is brewed with eight different malts to produce a smooth, well balanced, dark beer. A specially roasted barley provides a hint of chocolate. 5.6% ABV",Brown Porter
Pulled Porter,7.7,"On the farm way too long, ol’ McDanko began showing some worrisome tendencies. Following a solid session in the hot box smoking malt, he was overcome by a methane cloud emoted from the herd. Ya heard? Reaching for the hops, he goofed and grabbed porky by the e-i-e-i-oh and plopped her in the brew kettle slow and low —that is the tempo. Knock knock —who’s them? It’s McDanko’s inbred neighbor, Geri Reynolds, swinging by delivering his deliverance with some fat back hem and some fat back them. Stepping out past some Foxy brothers picking a banjo on the porch to sample his wares, McDanko, doubled over the chopping block and squealed like a pig – wieii wieii — proclaiming this to be the most bodacious bacon beer brewed this side of the Chattoog-a!",Smoke Porter
Pumpkin Spice Latte : Nitro Series,5.5,"Pumpkin Spice Latte is a stout made with dark roasted malts and carefully roasted, cold pressed coffee beans. Vanilla, cinnamon, nutmeg, and cloves delicately complement the taste of rich pumpkin. These well-balanced fall flavors presented with the velvety texture of nitrogen create a truly distinctive and delicious beer.",American Stout
Purebred A.P.A. Citra,6.2,The first in our Purebred series of single hop A.P.A.s showcases the hop variety Citra. These are used for everything from bittering and flavor to aroma. The soft bitterness of the Citra hop makes this an extremely drinkable beer.,American Strong Pale
Quinn's Amber Ale,4.8,"An easy drinking ale with low bitterness and a subtle malt profile. 
Balanced finish, 5 grains, 3 hops.",Amber
R. Prime,6.2,Named in honor of famed Indian mathematician Ramanujan. The inaugural batch of this beer was a collaboration with our esteemed colleague Matt Welz. Simcoe + Citra = R’.,American IPA
Rainy Day Blues,6.0,"Notes of chocolate, molasses, and blueberries, which are added during fermentation), and just the right amount of malty sweetness
 in this full-bodied Baltic Porter.",Baltic Porter
Red Between the Lines,6.2,"Not your average amber ale.  A big malt beer balanced with a hefty hop bitterness.  The red color and strong malt flavor comes from dark Munich and Caramel Munich malts.  The hops are all American with three hop additions during the boil and dry hopping.  Though the strength of this beer is its malt backbone, there is a definite hop fruit flavor in the finish.",Amber
Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),8.0,"Chico, CA—July 18, 2013—Sierra Nevada Brewing Co. is highlighting the best of its 2012 Beer Camp sessions with a new variety 12-pack featuring three hop-forward brews.

#65 Imperial Red Ale—Our aggressive Imperial Red Ale is a massive mix of smooth malts and West Coast hops that have no patience for the lupulin leery. This crimson beer starts with caramel-like malt flavor that can’t suppress the assertive, citrusy hop finale.",Amber
Redbridge,4.0,"Redbridge beer doesn't need to make promises to stand out from the crowd; its very essence sets it apart. Redbridge is made without wheat or barley, so the approximately 3.2 million consumers who are unable to drink beer made with barley due to Celiac Disease or because they follow a wheat-free or gluten-free diet can once again enjoy a great tasting beer. Redbridge is a rich, full-bodied lager brewed from sorghum for a well-balanced, moderately hopped taste.",Gluten-Free Beer
Regal Pilsner,7.0,"All hail our Brewmaster and the fruits of his labor, Regal Pilsner.

A double Pilsner with distinct hoppy attributes and a pronounced malty backbone. It is strong in character and steadfast in its resolve to provide maximum drinking pleasure. All hail our Brewmaster and the fruits of his labor, Regal Pilsner!",American Pilsener
Rhizing Bines,8.0,"On the hot side, Rhizing Bines will go through Dogfish’s signature continual-hopping process with floral and citrusy Bravo hops. On the cold side, it will be dry-hopped with an experimental varietal so new it doesn’t yet have a name, just a number: Hop 644. A component of Sierra Nevada’s aroma-boosting Torpedo system will make a pit-stop in Delaware for dry-hopping duty before it heads to Sierra’s new North Carolina brewery.

To celebrate Sierra Nevada planting East Coast roots, Dogfish Head tracked down a Carolina heirloom wheat grown and milled at Anson Mills. The soft red winter wheat contributes subtle sweet and nutty notes to this hop-forward ale.",Imperial IPA
Ripley Tripel,9.6,"A very effervescent, dry Belgian-style strong ale. Brewed with Belgian malt and Candi sugar. Fermented with
a blend of Belgian yeast and Brettanomyces to produce a complex fruity and spicy aroma and flavor.",Belgian Tripel
River Ryed Rye IPA,6.0,This hop-forward beer features intense citrus and herbal hop flavor balanced by the peppery spice of rye for a dry delicious end to a rafting journey.,Rye Ale
Rompo Red Rye (Bourbon Barrel Aged),5.2,Aged in George Dickel barrel. Deer antler series,BBL Aged
Rompo Red Rye Ale,5.6,"Named after one of the gnarliest creatures of all time, Rompo is red rye ale. The house yeast gives it a floral aroma while the flaked rye adds spice to the finish. This is our session brew and will keep you howling for more.",Rye Ale
Runway IPA,6.2,"This is a true IPA, though it is at the low end for both bitterness and alcohol values. This beer has a solid malt background of 2 row and light crystal malts.  There are four additions of hops during the boil to give it the bitterness and and hop flavor that is characteristic of the style, but the thing that gives this beer its character is the generous dry hopping that fills the mouth with citrus and tropical fruit flavors.",International Pale
Ruthless Rye IPA,6.6,"Rugged and resilient, rye has been a staple grain for ages and its spicy black pepper-like flavor has been prized by distillers and brewers for centuries. Rye thrives in the harshest conditions and comes to life in Ruthless, a spicy and rugged IPA with fruity, citrus and herbal hop notes balanced with the dry spiciness of the rye, making the beer aggressive yet comforting to bolster against whatever the winter winds may bring.",American IPA
Ruthlessly Delicious,6.2,"A well-rounded, highly drinkable IPA. A bit of Caramel Malt barley provides the richness that mellows out the twang of the hops.",American IPA
Ryde Beer,5.0,"An uncommon brew that balances the unique aroma and flavor from dry-hopping with the crisp, dry finish of rye.",Rye Ale
Rye Cocoa Porter - ScareCity #2,10.2,Brewed w/ 4 types of rye malt and cocoa nib infused Belgian Candi syrup.,American Imperial Porter
Rye Hatter,6.12,"This beer showcases it’s grain-bill, made up of rye and barley malt. The rye adds a slight spiciness to the caramel-malt base, while also creating a creamy texture. Dry-hopping contributes a fresh citrus finish.",Wheat Ale
Rye IPA,6.8,An aggressively hopped American Style Pale Ale brewed with Simcoe and Amarillo hops. The use of 20% rye gives this ale a unique dry and spicy character.,American IPA
Safari Amber,5.0,So so,Amber
Saison Dans La Maison ,5.6,"This is a great representation of the style. With a diverse malt bill, Hersbrucker, and Czech Saaz hops you can enjoy all the wonderful flavors a farmhouse ale has to offer balancing hops, malt, and the earthy flavors of saison yeast.",Saison
Sakitumi,9.0,"This Raging Bull'uva Double-ish IPA is punched with Sake Yeast and Rice, then hopped-up for a cold-clip of counter-balanced bitterness... it just don't mean a thing if it ain't got that swing!",Specialty
Sans Souci,5.9,"Brewed exclusively with Pilsner malt to showcase Belgian yeast with an American hop. The yeast adds spicy notes, while El Dorado hops contribute tropical fruit and melon aromas to this light-bodied refreshing ale.",Saison
Satellite Stout,5.5,A bold roasty stout with 50lbs of organic fair trade espresso beans. A tribute to the best coffee house in town. Coffee lovers will easily embrace this delicious brew.,American Stout
Second Helping IPA,7.4,"Sometimes a beer is more than a beer – it’s hope. Our goal with Second Helping IPA is just that. We tag-teamed this IPA, brewed with juniper berries, with our pals at The Giving Kitchen – an awesome local organization dedicated to helping folks from the hospitality industry who have hit a rough patch or experienced catastrophic emergencies.

Second Helping will be a limited release brew only available in Atlanta, and 100% of profits from the beer will be donated right back to the amazing stuff The Giving Kitchen is doing. Just one small way we can help pay it forward. For more info on what they’re all about, make sure you visit their website and check out the video below.",American IPA
Sidcar Orange IPA,6.8,"We pushed the complex and citrus-heavy flavors of hops to a new level with this orange-infused IPA. Combining bright and bold hops with real orange in the fermenter creates layers of citrus-crazy flavors, yet it maintains a balance and a crisp hop bite that make it the perfect aromatic IPA.",American IPA
Sidecar Orange Pale Ale,5.6,"This beer has a pop of bright orange flavor that emphasizes the natural citrus-heavy character of Cascade, Equinox and Mandarina hops. Brewed with orange peel added directly to the kettle, and all the classic hop flavor you'd come to expect from our all-new take on the hop-forward fruit beer.",American Pale
Silent Night,11.0,"Biere de Noel is a belgian style beer that is traditionally brewed during the winter months and features big malty flavors that will warm both body and spirit. Silent Night starts with a note of toffee in it’s nose, which moves on to the pallet and mingles with hints of raisin. This is a big, sweet flavored beer that will definitely take the chill away from a cold winter night.",Belgian Dark Strong
Single Hop Cascade IPA,6.3,"This IPA features the flavors of the Cascade hop in an all-new way. Highlighting its signature citrus, pine and floral flavors, this IPA is an homage to the hop varietal that helped cultivate the love of bold, hop-forward beers for brewers worldwide and made our original Draught-style Pale Ale a modern beer classic.",American IPA
Single Hop Series: Liberty,5.0,An American IPA made in the heart of Nashville Tennessee. This IPA is part of a series of brews dedicated to a single hop. The Liberty Hop profile shines through the whole beer.,American IPA
Sinner's Son,12.4,Bourbon barrel aged imperial coffee stout,American Imperial Stout
Six Rights IPA -  Beer Camp,8.0,"A bitter, moderately strong American pale ale that uses it’s clean, supporting malt to showcase it’s hop character of Mosaic & Citra.",American IPA
Smaug's Breath,11.0,Spiced Chile Imperial Stout with toasted chile de arbol added directly to a 4 month aged Dragon's Milk bourbon barrel.,British Imperial Stout
Smidy,5.2,This rare stout comes from a second running of the infamous Ten Fidy. Then Lactose sugar is added to make it a delicious lower ABV milk stout.,Sweet Stout
Smoke on The Water,7.0,"A carmelly, complex, holiday warmer with a gentle smoked finish. 7 % ABV.",Smoke Beer
Sneaky Pete,10.0,"Sneaky Pete is a blend of five hop types: Simcoe, Glacier, Centennial, Vanguard and Hallertuaer, with Simcoe playing the dominate role at 30%. In addition, three separate malts were used: Honey Malt, Rye Malt, and Munich Malt. The brew has a copious aroma of white grapefruit, citrus overtones, a complex rich middle and long flavors in the finish; a real beauty. Finished with wild clover honey.",Imperial IPA
Snow Glare,6.0,"This refreshingly soft American wheat ale with a bright burst of hops took inspiration from sunshine reflecting off melting snow during winter's surrender to spring. Grounded by malted wheat, Snow Glare's medley of Mosaic, Centennial, and Palisade hops brings tropical and floral aromas and a crisp finish. When you're cool with winter but also thirsty for spring, this hoppy wheat ale helps embrace the in-between.",American Pale
Snow Wit,5.7,"A seven-hop lineup with a Belgian twist.

You don’t need a magic mirror to see the lure of this beer. It’s brewed with seven varieties of experimental dwarf hops. These hops are so called because of their uncommon growing method—shorter hedgerows rather than tall trellis systems—that yields a denser heap of cones with unique flavors that diverge from their full-grown botanical counterparts. Each year new and different varieties are grown in this method, creating untried and exciting shifts in hop character.",American IPA
Snowman Stout,5.2,"A delicious mocha stout brewed with locally roasted cacao nibs and coffee beans, the aroma alone is enough to make us wish we could jump in the kettle on brew days. With grains including roasted barley, chocolate malt, and black malt, it will warm you
 up from the inside out.",American Stout
Sour Cherry Ten FIDY,10.0,"Imperial Stout aged in oak barrel with tart pie cherries. The infamous Ten FIDY imperial stout aged for 10 months in an oak barrel with 36 pounds of tart pie cherries added after 7 months.  A slightly lactic character carouses with big alcohol, cherries and roasty-chocolate flavors.  The cherry cordial in liquid form.  10% ABV.",BBL Aged Sour
Sour Inc: Apple Rhubarb,4.5,"Sour Inc Apple Rhubarb Gose is kettle soured with in-house grown lactic culture. Apple and rhubarb are blended to bring the sweet and sour, then lightly salted to attain the light and crisp gose style.",Leipzig Gose
Southern Gothic Session Pils,5.6,"Southern Gothic, a 5.2 percent ABV unfiltered pilsner.",German Pilsener
Southern Hemisphere Harvest,6.7,"Our newest addition to our Harvest family is Southern Hemisphere Harvest. This is the first time we know of that an American brewer has put out a beer with fresh-picked hops from the southern hemisphere. The inaugural ale will debut in late April and will feature fresh Pacific Hallertau, New Zealand Motueka and New Zealand Southern Cross hops, all from New Zealand.

Like our Celebration Ale, the fresh hops in this beer are dried right after being picked then shipped immediately to Chico for brewing so that they retain their peak aromatics and flavors. To ensure the freshest hops possible, we went to the added expense of flying these hops from New Zealand to Chico so we could brew with them the week after they were picked.",American Pale
Southern Hemisphere Session IPA,4.6,"Citrusy, floral and sessionable, our Southern Hemisphere Session IPA is brewed with Nelson Sauvin and Wakatu hops from New Zealand, lending the beer fresh and bright aromas and flavors.",Session IPA
Spanglish Fly,8.0,"The infamous bandit. Brewed with three herbal aphrodisiacs: wormwood, yarrow and ginger. Because of the presence of wormwood and yarrow, this delicious and possibly psychoactive beer had to go through a scrutinous process and was nearly denied by the TTB. Yarrow and wormwood, made famous for its use in Absinthe, contain thujone. Thujone is known for its hallucinogenic properties. Eventually and finally, Spanglish Fly got the go ahead. Whether this biere de garde is truly mind-bending is left for you to discover.",Bière de Garde
Spinner,5.6,We took our Pinner recipe and tweaked it a bit more malt and single hop Simcoe hops.,American IPA
Spinnerbait,6.0,"The flash of this spinnerbait stimulates the senses with its sweet malty currents and deep red hues. Our BA reels with fruity esters and spicy notes from the Ardennes yeast which swirl through the Belgian rock candy, casting the perfect presentation for the hops to set the hook on this big boy.",Flanders Red
Spruce Beersteen,6.0,"A Black IPA, also known as a Cascadian Dark Ale, Spruce has both a powerful hop boquet,
 and dark, roasted caramel malts. Spruce tips are added during the brew to accent the
 hop aroma for this rock star of a brew.",Black Ale
Squeeze Box,6.1,"Beer lovers who enjoyed summer’s Goin’ Coastal IPA with pineapple will be delighted by Squeeze Box’s similarities in style and drinkability, but with the seasonally appropriate update of grapefruit.",American IPA
Stephan Urquell ,4.0,"“DID I BREW THAT?!” This Czech-style pilsner pays tribute to the famous lager style created by Josef Groll in 1842. Spicy, fresh and clean, Stephan Urquell is familiar, yet invigorating. FACT:“Urquell” is a combination of two German words that means “original source.”",International Pilsener
Stoopid Wit,6.0,"An Un-Freakin'-Filtered Hoppy Belgian-ish Wit
This UNFILTERED Belgian-ish Wit-ly-esque-ish-ness brew features a dry twang of hoppy bitterness and is perfect for the summertime drinking!",Witbier
Stout,5.8,"Creamy, malty, and full-bodied, the Sierra Nevada Stout is satisfyingly rich. Caramel and Black malts give the Stout its deep, dark color and pronounced roasted flavor.

“Sierra Nevada Stout is admirable from nose to finish, with notes of malty sweetness to the palate but plenty of bitterness available to set up a stimulating counterpoint.”",American Stout
Strawberry Moon,4.3,"This American Sour Ale is brewed with Peterson’s Pilsner malt and 600 pounds of organic strawberries from Adam’s Berry Farm. Light, refreshing and wonderfully sour!",Sour
Strawberry White Pale Ale,5.1,Strawberry and cream,American IPA
Sucks,8.0,"The fall of 2011 brought with it the sad realization that we could not make the annual plan to wrangle with our most difficult brew, the Brown Shugga' Ale. E.K. Ross would have enjoyed our suffering as we moved through her stages toward acceptance final, but in that time of our deepest despair, as is common to artists everywhere; broke, hungover, abandoned by the muse and prepared to take a job at Arby's, we found in that darkness the spark of inspiration that would yield up the nearly sanctified recipe for the tragically named beer that we call the Lagunitas Sucks Ale. This is that beer. In the tale of the farmer with a lost ox, the last stages of are all that matter and in those desparate final moments, salvation is found. Having named the beer in that moment of darkness we are now bound to it and it to us as an act of supplication and this name we now wear with a heart full of gratitude, humble and penitent before the recipe's creator; the muse of brewers everywhere.",Imperial IPA
Sugarshack Saison,5.1,This light amber Saison gives you touches of malt sweetness with a light maple syrup aromatic. These flavors play nicely with the fruity and spicy yeast flavors created during fermentation. It is an easy drinking beer with a complexity that changes with each sip.,Saison
Summer Ale,4.7,American wheat ale with a hint of lemon makes this beer light tasting and super refreshing.,Wheat Ale
Summer Session,5.0,A smooth refreshing American Wheat Ale brewed with fresh ginger. This Summer Session is much more exciting than the one you had to sit through in high school.,Wheat Ale
SummerBright Ale,4.5,"The brewmaster's goal: the perfect ale for summertime quaffing, nothing more. Breck Brew's SummerBright is the result. The craftsman's touch combines white wheat, two row pale and munich malt with the pacific northwest's most intriguing hops to create a bright, clean ale ideal for picnicking, evenings on the screen porch and enjoying the whims of the summer breeze.

Yeast:Top Fermenting Ale Yeast
Malts:Two-row Pale, White Wheat Malt, Carapils Malt, Munich
Hops:Fuggles, Cascade, Willamette",Blonde
Summerfest,5.0,"Our Summerfest® is a refreshing, pilsner-style lager. Its incredible smoothness comes from an extra-long lagering period. Lighter in body than our ales but just as complex in character, Summerfest® quenches your thirst with big aroma and a tangy hop bite.",American Lager
Sumpin' Easy Ale,5.7,Wheat Ale,American Pale
Sun Dog Amber Wheat,5.3,"Sun Dog is an unfiltered beer, with a naturally cloudy appearance and fuller texture which allows it to stand up to spicy foods like Thai noodle salads and Cuban sandwiches.  The beer is best served in a tall, wide-mouthed glass which opens up the aromas of the beer and showcases its beautiful long-lasting head of white foam.",Wheat Ale
Sundog,4.5,"Sundog is an amber ale that emulates the copper glow of a Lake Michigan sunset. A showcase for caramel malt, Sundog presents a toasty character, with subtle malty sweetness and a nutty finish.",Amber
Super Cluster,8.0,"This out-of-this-world ale is a galactic blast from the glass, a Citra supernova in the sky, jettisoning lupulin lusciousness through the cosmos and across the universe of your palate. Enter its bitter orbit and we'll all float on, okay? Cheers!",Imperial IPA
SweetWater Festive Ale,8.5,"Winter Coat Season – A strong ale brewed with generous amounts of rich malt, coupled with a taint of cinnamon and mace to keep you warm and toasted all winter long  We Double Dog Dare You",Spice Beer
SweetWater IPA,6.3,"This mammouth India Pale Ale is loaded with intense hop character and subjected to an extensive dry-hopping process. Our IPA is unfiltered and as always, not pasteurized, leaving all the natural flavors intact.

The Beer You’ve Been Training For

Awards – Best IPA in the Country – Judges Choice AJC March 09",American IPA
SweetWater Mean Joe Bean,8.5,"Rodger the Dodger and his Imperial Porter bone offense didn't stand a bat wings change once we dipped our Nicaraguan bean sack through his facemask!

We blindsided his 8.5% ABV jock strap back to the fields to pick more beans, resulting in his Immaculate con-Catch-tion of intense forearm shivers of chocolate malt, a body like the Bus and blitzes of gridiron hops, all clotheslined by intense coffee overtones.  So goo that you'll need your terrible towel to wipe the tears.",Robust Porter
SweetWater Motor Boat,5.6,Leaf Season – Silver medal winner “08 & 09 Great American Beer Festival! Our titillating version of an ESB. Dry Hopped for a face full of flavor.,Bitter
SweetWater Road Trip,5.2,"Bikini Season – a fiery Pilsner fermented at ale temperatures for a fuller flavor, capped by and intense spicy-hop finish.
Nobody Rides for Free",American Pilsener
SweetWater SchWheat,4.9,"SweetWater Sch’Wheat American Wheat Ale. If that don't slide past your uvula, we are sure this will! Delicate rays of citrus hop overtones transcend this easy drinking unfiltered wheat ale, creating an exceptionally quaffable experience. This year round beer is line priced with the rest of our year round lip smackin lineup. Available in both six packs and on draught.",Wheat Ale
Sweetwater Dank Tank Big Ol' Belgian Blue Balls,9.0,"There once was an old Belgian man who walked his donkey past a blueberry patch that was tended to by a beautiful maiden named Paige. Her blueberries were the juiciest in the land, which legend has it was due to her tending her patch in the nude. Every day as the old Belgian walked past the naked farmer with the fantastic berries, he was left with the most painful set of blue balls ever bestowed on a man.
Brewed in the old man’s honor, we created a hefty 9% alc/vol Belgian wheat & rye concoction which features a squirt of the naked girl’s fresh organic blueberries from Serenbe Farms, giving Big Ol Belgian Blue Balls a slight taint of blueberry undertones to help him ease the pain. It’ll leave you lusting for more!",Belgian Fruit
Sweetwater Donkey Punch!,10.2,"The biggest farm animal to come out of the SweetWater Barn! We bucked up and threw everything, including the kitchen sink, into this ""Jackass"" concoction. At 10% ABV and over 90 IBU - You’ll know it when it hits you in the back of the head!",American Barleywine
T.L.A. I.P.A.,5.7,"Our house I.P.A. – A fine array of hops in harmony with Pale and Crystal malt. Intense hop flavor with a floral aroma resulting from several hop additions throughout the boil. The name does not mean what you think it does, but you may fall in love with this beer all the same.",American IPA
Take Two Pils,5.5,"A Golden Blonde German Pilsner brewed with spicy floral hops. A head-first trip down the rabbit hole of lagers. Call us in the morning!

Hops: Mt. Hood, Saaz, Styrian Golding
Grains: Pilsner, Munich, Carapils",German Pilsener
Tangerine Space Machine,6.8,New England IPA,American IPA
Tasmanian Hatter,7.0,"Tasmanian Hatter brings you flavors from the region of the Tasman Sea. Hops from Australia, New Zealand and the Pacific Northwest combine to present bright, tropical flavors of mango and citrus, beautifully framed with biscuity malt character.",American IPA
Tater Ridge - Beer Camp Across America,7.0,"The Asheville area is a brewing hotspot nestled in the mountains of North Carolina. Tater Ridge was brewed by something of a craft beer super group made up of members of the Asheville Brewers Alliance. We’re fortunate to call these passionate and talented brewers our neighbors, and we hope this unique ale will be the first of many collaborations to come.

We’ve made plenty of new friends in the nearly 30-strong Asheville Brewers Alliance (ABA) since we started brewing in North Carolina. Two of whom—John Stuart of Green Man Brewery and Luke Dickinson of Wicked Weed Brewing—led this collaboration recipe and work tirelessly to bring creativity and a deep-seated love of locally made craft beer to the Appalachian Mountains.",Scottish Heavy
Taz IPA,6.0,"Inspired by and sourced from the wild world down under, Taz IPA is 'chockers' with some of the world's greatest hops. Galaxy and Nelson Sauvin hops from Australia and New Zealand combine to offer savage bitterness and a touch of fruitiness.",American IPA
Ten FIDY,10.5,"Ten FIDY Imperial Stout – This titanic, immensely viscous stout is loaded with inimitable flavors of chocolate-covered caramel and coffee and hide a hefty 98 IBUs underneath the smooth blanket of malt.  Ten FIDY (10.5% ABV) is made with enormous amounts of two-row malt, chocolate malt, roasted barley, flaked oats and hops. Ten FIDY is the ultimate celebration of dark malts and boundary-stretching beer.",American Imperial Stout
Ten FIDY (2016),10.5,"This titanic, immensely viscous stout is loaded with inimitable flavors of chocolate-covered caramel and coffee and hide a hefty 65 IBUs underneath the smooth blanket of malt. It is made with enormous amounts of two-row malt, chocolate malt, roasted barley, flaked oats and hops.",Stout
Tequila Barrel-Aged Ophelia,6.6,"his small-batch barrel-aged beauty starts with our spring seasonal, Ophelia Hoppy Wheat Ale. We let her bathe in fresh tequila barrels for 11 weeks so that she could redefine herself as something entirely new. You'll be amazed at the outcome.

Pour this beer into a glass that will showcase its aroma, and you can't miss scents of mezcal, oak, and tropical fruit. The barrels naturally mask some of the beer's original hoppiness, but just a bit. This actually brings out the subtle sweetness of the malts. A peppery flavor and crisp mouthfeel still remain, however, followed by mellow tequila flavor.",Wheat Ale
Terra Incognita,8.5,"Situated at opposite ends of the California Trail, pioneering breweries Sierra Nevada and Boulevard have embarked upon a journey into the unknown, to a land where adventures in brewing and flavor await.  Terra Incognita is, fittingly, an earthy beer, celebrating the unique terroir of the two locations.  Beginning with Sierra Nevada's estate-grown pale malted wheat, it is then assertively hopped with bravo and Styrian Goldings, dry hopped with East Ken Goldings, and finally barrel aged with Brettanomyces in Missouri oak.",Specialty
The 1759,9.0,"Bottle,special
a rich butterscotch aroma with subtle hop notes. The mellow, caramel flavors combine with a subtle hop character and fruity sweetness from the strong ester profile.",Amber
The Carhartt Woodsman,4.4,"Celebrates craftsmanship and hard work. Locally-grown Cascade hops bring a brightness to this barrel-aged American pale ale. Malt sweetness and toasted oak combine for a smooth, refreshing finish.",American Pale
The Dogfather,10.0,This year’s Dogfather Imperial Stout will all be aged in charred bourbon barrels. Seven malt varieties and subtle hop additions give it a complex flavor profile.,American Imperial Stout
The Dogfather Imperial Stout - Bourbon Barrel,10.85,This year’s Dogfather Imperial Stout will all be aged in charred bourbon barrels. Seven malt varieties and subtle hop additions give it a complex flavor profile.,British Imperial Stout
The Down Low Ale,3.9,"A dry and hoppy, stoooooopidly slammable copper ale!
This dry and hoppy copper ale is packed full of some of our favorite Northwestern Hops from Perrault Farms (over 2 lbs. per barrel!), and copper-fied with some dark crystal malts to make this tropical, earthy, and stoooopidly slammable ale.",American Pale
The Hairy Eyeball,8.8,"Our New Year's release for the seasoned beer folks … Big, brown warmer with several types of crystal malt. No actual eyeballs can actually be found in the beer.",American Strong Pale
The Mutilator,7.0,"This doppelbock busts out with mountainous malt flavor from Munich, melanoidin, crystal, chocolate malts, tiger blood and Adonis DNA. It’s lightly hopped with Czech Saaz just enough to balance the malt. The cool fermentation with our German lager yeast lets the clean malt flavors shine with rich chocolate and caramel. It’s stabbingly good at 7% ABV.",Doppelbock
The Pit & The Pendulum,8.3,"The perfect balance of three distinct divergences. Allowed to initially flower with Belgian ale yeast, The Pit & The Pendulum was then incarcerated with Brett and freshly pureed peaches to intensify the trifecta of its persona.

Enjoy fresh, but also a good one for the cellar, as the Brett continues to contemplate its environment.",Wild Beer
The Pit & The Pendulum with Cherries,6.1,Sour Golden Ale aged on oak with 3000 lbs of cherries,BBL Aged Sour
The Poet,5.2,"Oats bring a creaminess and soft mouth-feel to rich, roasty malt character.",Oatmeal Stout
The Waldos’ Special Ale (2018),11.3,Vintage of The Waldos' Special Ale,Imperial IPA
There and Back - Beer Camp Across America,5.6,"For beer folks, Chico, CA, and New Glarus, WI, are must-see capitals on the U.S. brewing map, but getting between the two is no simple feat. There and Back is named for the planes, trains, and zeal needed to connect them. This classic English-style Bitter is a complex yet easy-drinking mix of toasty malt and a fruity, herbal hop flavor.

New Glarus is fiercely loyal to its home state, growing to one of the largest breweries in the U.S. without selling a single drop outside of the borders of Wisconsin. With those local tastes in mind, New Glarus has perfected traditional German styles and invented masterful versions of complex and intense fruit beers featuring Wisconsin-grown ingredients.",Bitter
Through the Brambles,6.3,"A Blackberry sour beer, aged on French Oak Chardonnay barrels for a year with various Brettanomyces and Lactobacillus strains. The first Woodlands Project release by SweetWater Brewing Company.",Wild Beer
Thunder Ann,5.5,"Thunder Ann is our American pale ale named after Ms. Sally Ann Thunder Ann Whirlwind Crockett. Davy’s wife and an Undeniable Badass. With a citrusy aroma and dry-hopped with classic American varieties, Thunder Ann packs a one-two punch but can also be subtly sweet, just like its namesake.",American Pale
Tmavé,5.4,Made with Bohemian floor-malted barley and Czech Saaz hops. This rare lager style has a lovely mouthfeel and flavor derived from the malt. An excellent food-pairing beer. Na zdraví!,Euro Dark
Torpedo Extra IPA,7.2,"Sierra Nevada Torpedo is a big American IPA; bold, assertive, and full of flavor highlighting the complex citrus, pine, and herbal character of whole-cone American hops.


Around here, we take hops pretty seriously, which is why we weren’t satisfied with the standard method of dry hopping for our first year-round IPA. We spent years tinkering, tasting, and tweaking ways to get the biggest and best hop flavors and aromas into our beer.

Our persistence has paid off. Our obsession with harnessing huge hop flavor led to the development of what we call the hop torpedo, a revolutionary method of dry-hopping designed, built, and debuted here at the brewery. Our torpedo is a sleek, stainless-steel piece of hardware that delivers more pure hop aroma than any method of dry-hopping we’ve ever seen. Like all our beers, Torpedo Extra IPA uses only the best whole-cone hops possible making this delicious ale worth the wait.",American IPA
Torpedo Pilsner - Beer Camp Across America,5.2,"Torpedo Pilsner is a hop-forward take on the crisp classic lager. We and the folks at Firestone Walker share a passion for New Zealand hop varietals, so we loaded our legendary Hop Torpedo with southern hemisphere hops for a fruity, floral twist on the pilsner style.

Just down the road from us in California’s Central Coast wine country, this rock star brewery has earned “Mid-size Brewery of the Year” at the World Beer Cup four times. Like us, Firestone is passionate about hops.  Their skill with the ingredient shines in their Pale Series and elsewhere in a long beer lineup driven by a premier brewing team.",American Pilsener
Trademark Pale Ale,5.7,"Demanding beer for demanding beer drinkers -- that's our Pale Ale.

We craft this American pale ale with hearty amounts of pale and Munich malts, then balance it with lofty amounts of hops throughout. It's a finessed version of hop-head fun -- a black diamond beer without the bumps and dangerous curves.

Yeast:Top Fermenting Ale Yeast
Malts:Two Row Pale, Munich, Caramel
Hops:Perle, Wilamette, Bramling, Fuggle, Czech Saaz",American Pale
Trip In The Woods,9.6,"At the edge of the woods is an inviting aroma of baker's cocoa, brown sugar and coconut, while the forest's depths swell with smokiness. Breaking through the trees are beams of cedar spice, this complexity the result of blending a hearty Scotch ale with a barrel-aged imperial smoked porter. 80% Scotch Ale brewed with molasses and 20% Bourbon Barrel-Aged Imperial Smoked Porter.",Scotch Ale
